gx,gz,nodata_count,inner_samples,nodata_pct,valid_min_m,valid_max_m,valid_mean_m,nearby_valid_mean_m
158,53,787,4096,19.21,2.0,3.9,3.13,3.49
159,-83,1290,4096,31.49,-1.6,-1.6,-1.6,-1.6
159,53,730,4096,17.82,2.5,3.7,3.21,3.2
160,-82,277,4096,6.76,-1.6,-1.6,-1.6,-1.6
160,-83,3250,4096,79.35,-1.6,-1.6,-1.6,-1.6
160,53,674,4096,16.46,2.8,3.5,3.08,3.2
161,-80,338,4096,8.25,-1.6,-1.6,-1.6,-1.6
161,-81,2157,4096,52.66,-1.6,-1.6,-1.6,-1.6
161,-82,3875,4096,94.6,-1.6,-1.6,-1.6,-1.6
161,53,617,4096,15.06,2.6,3.2,2.99,2.9
162,-73,376,4096,9.18,-1.6,-1.6,-1.6,-1.6
162,-78,244,4096,5.96,-1.6,-1.6,-1.6,-1.6
162,-79,2108,4096,51.46,-1.6,-1.6,-1.6,-1.6
162,-80,3893,4096,95.04,-1.6,-1.6,-1.6,-1.6
162,53,560,4096,13.67,2.0,3.3,2.81,2.95
163,-71,308,4096,7.52,-1.6,-1.6,-1.6,-1.6
163,-72,2724,4096,66.5,-1.6,-1.6,-1.6,-1.6
163,-73,3470,4096,84.72,-1.6,-1.6,-1.6,-1.6
163,-74,115,4096,2.81,-1.6,-1.6,-1.6,-1.6
163,-75,330,4096,8.06,-1.6,-1.1,-1.6,-1.6
163,-76,1428,4096,34.86,-1.6,-1.6,-1.6,-1.6
163,-77,2553,4096,62.33,-1.6,-1.6,-1.6,-1.6
163,-78,3814,4096,93.12,-1.6,-1.6,-1.6,-1.6
163,53,503,4096,12.28,2.2,3.1,2.76,2.75
163,74,4017,4096,98.07,-1.5,-1.5,-1.5,-1.5
164,-70,1247,4096,30.44,-1.6,-1.6,-1.6,-1.6
164,-74,3835,4096,93.63,-1.6,-1.6,-1.6,-1.6
164,-75,4068,4096,99.32,-1.6,-1.6,-1.6,-1.6
164,73,3800,4096,92.77,-1.5,-1.5,-1.5,-1.5
164,74,700,4096,17.09,-1.5,-1.2,-1.5,-1.5
164,79,1140,4096,27.83,-1.5,3.5,0.3,0.33
164,80,1976,4096,48.24,-1.5,0.5,-0.92,-1.02
164,81,3616,4096,88.28,-0.1,0.8,0.08,0.17
165,-68,277,4096,6.76,-1.6,-1.6,-1.6,-1.6
165,-69,2589,4096,63.21,-1.6,-1.6,-1.6,-1.6
165,-70,4094,4096,99.95,-1.6,-1.6,-1.6,-1.6
165,72,3987,4096,97.34,-1.5,-1.5,-1.5,-1.5
165,73,996,4096,24.32,-1.5,-1.5,-1.5,-1.5
165,81,539,4096,13.16,-0.1,1.6,0.9,0.98
165,82,2525,4096,61.65,0.4,1.6,1.08,1.13
165,83,3865,4096,94.36,1.4,1.4,1.4,1.4
166,-66,255,4096,6.23,-1.6,-1.6,-1.6,-1.6
166,-67,1656,4096,40.43,-1.6,-1.6,-1.6,-1.6
166,-68,3684,4096,89.94,-1.6,-1.6,-1.6,-1.6
166,83,1684,4096,41.11,1.0,2.1,1.31,1.39
167,-65,2614,4096,63.82,-1.6,-1.6,-1.6,-1.6
167,-66,3954,4096,96.53,-1.6,-1.6,-1.6,-1.6
167,83,484,4096,11.82,-1.5,2.3,1.74,1.82
167,84,4074,4096,99.46,0.8,2.6,1.18,1.09
168,84,2973,4096,72.58,1.0,5.1,3.3,3.46
169,-60,35,4096,0.85,-1.6,-1.1,-1.6,-1.55
169,-61,2097,4096,51.2,-1.6,-1.6,-1.6,-1.6
169,84,1079,4096,26.34,-1.5,5.1,2.15,1.41
170,-60,2967,4096,72.44,-1.6,-1.6,-1.6,-1.6
170,85,3793,4096,92.6,1.2,2.1,1.88,1.89
171,-60,2271,4096,55.44,-1.6,-1.6,-1.6,-1.6
171,-61,4002,4096,97.71,-1.6,-1.6,-1.6,-1.6
171,-63,4074,4096,99.46,-1.6,-1.6,-1.6,-1.6
171,-64,3579,4096,87.38,-1.6,-1.6,-1.6,-1.6
171,-65,3095,4096,75.56,-1.6,-1.6,-1.6,-1.6
171,-66,3829,4096,93.48,-1.6,-1.6,-1.6,-1.6
171,85,3645,4096,88.99,0.9,2.4,1.5,1.57
172,-61,353,4096,8.62,-1.6,-1.6,-1.6,-1.6
172,-62,842,4096,20.56,-1.6,-1.6,-1.6,-1.6
172,-63,189,4096,4.61,-1.6,-1.6,-1.6,-1.6
172,-66,42,4096,1.03,-1.6,-1.6,-1.6,-1.6
172,-67,822,4096,20.07,-1.6,-1.6,-1.6,-1.6
172,-68,2118,4096,51.71,-1.6,-1.6,-1.6,-1.6
172,-69,3870,4096,94.48,-1.6,-1.6,-1.6,-1.6
172,85,2721,4096,66.43,0.2,2.6,1.53,1.55
173,-69,312,4096,7.62,-1.6,-1.6,-1.6,-1.6
173,-70,2229,4096,54.42,-1.6,-1.6,-1.6,-1.6
173,-71,4073,4096,99.44,-1.6,-1.6,-1.6,-1.6
173,85,2133,4096,52.08,1.3,1.7,1.54,1.54
174,-71,3131,4096,76.44,-1.6,-1.6,-1.6,-1.6
174,85,2041,4096,49.83,1.7,2.7,2.23,2.23
175,-71,2124,4096,51.86,-1.6,-1.6,-1.6,-1.6
175,101,3578,4096,87.35,-1.5,-1.5,-1.5,-1.5
175,84,7,4096,0.17,2.0,2.7,2.3,2.31
175,85,3336,4096,81.45,2.2,2.7,2.34,2.37
176,-71,1147,4096,28.0,-1.6,-1.6,-1.6,-1.6
176,100,3754,4096,91.65,-1.5,-1.5,-1.5,-1.5
176,101,545,4096,13.31,-1.5,-1.5,-1.5,-1.5
176,84,1055,4096,25.76,2.2,2.8,2.5,2.44
177,-71,2012,4096,49.12,-1.6,-1.5,-1.6,-1.6
177,100,1018,4096,24.85,-1.5,-1.5,-1.5,-1.5
177,84,2936,4096,71.68,2.0,3.1,2.46,2.57
177,99,4025,4096,98.27,-1.5,-1.5,-1.5,-1.5
178,-70,1244,4096,30.37,-1.6,-0.9,-1.11,-1.11
178,-71,4070,4096,99.37,-1.6,-1.6,-1.6,-1.6
178,60,3933,4096,96.02,-1.5,-1.5,-1.5,-1.5
178,61,3237,4096,79.03,-1.5,-1.5,-1.5,-1.5
178,62,2505,4096,61.16,-1.5,-1.5,-1.5,-1.5
178,84,2183,4096,53.3,2.7,7.2,4.32,4.74
178,85,4087,4096,99.78,7.1,7.2,7.19,7.19
178,99,1760,4096,42.97,-1.5,-1.5,-1.5,-1.5
